"Participant","ParticipantGender","ParticipantAge","InterviewTime","Noun","Age","Gender","Education","Group","ItemType","GramGender","Item","Sentence"
2,"female",19,2681.81,"star",3,2,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
3,"N/A",18,992.31,"star",2,4,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
7,"male",19,1154.09,"star",2,5,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
8,"male",37,892.48,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
9,"female",18,816.55,"star",3,3,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
13,"female",21,497.44,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
15,"male",27,382.12,"star",2,1,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
16,"female",19,750.69,"star",3,5,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
18,"female",25,1068.98,"star",4,5,6,"1","experimental","feminine","star/as","C’est une star de la course à pied."
19,"N/A",20,1161.86,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
20,"male",20,2558.41,"star",2,4,6,"1","experimental","feminine","star/as","C’est une star de la course à pied."
21,"female",22,843.78,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
24,"female",21,528.61,"star",3,4,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
26,"female",22,928.96,"star",2,2,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
27,"female",26,381.79,"star",3,1,2,"1","experimental","feminine","star/as","C’est une star de la course à pied."
28,"male",22,427.25,"star",3,3,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
29,"female",20,659.42,"star",5,7,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
30,"female",19,619.32,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
31,"female",18,536,"star",3,1,6,"1","experimental","feminine","star/as","C’est une star de la course à pied."
34,"female",20,487.27,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
35,"female",26,1138.58,"star",2,2,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
36,"N/A",NA,480.71,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
39,"female",21,446.09,"star",4,1,2,"1","experimental","feminine","star/as","C’est une star de la course à pied."
40,"female",21,463.05,"star",2,1,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
41,"male",NA,1038.37,"star",2,4,2,"1","experimental","feminine","star/as","C’est une star de la course à pied."
42,"male",18,833.13,"star",3,2,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
43,"N/A",24,726.77,"star",3,4,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
49,"female",19,683.57,"star",3,3,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
50,"female",30,436.5,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
51,"female",22,346.04,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
54,"female",19,458.76,"star",3,2,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
55,"female",18,606.61,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
56,"female",21,1185.48,"star",3,6,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
57,"female",25,753.56,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
59,"female",20,670.1,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
60,"male",20,998.68,"star",3,2,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
61,"male",26,3592.14,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
63,"male",21,882.31,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
65,"female",18,722.67,"star",3,5,6,"1","experimental","feminine","star/as","C’est une star de la course à pied."
67,"female",23,539.78,"star",2,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
68,"female",22,1150.76,"star",2,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
69,"male",23,859.27,"star",3,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
70,"female",26,599.13,"star",3,1,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
72,"N/A",22,617.36,"star",4,4,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
73,"female",23,558.71,"star",2,1,6,"1","experimental","feminine","star/as","C’est une star de la course à pied."
74,"female",29,453.76,"star",3,3,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
76,"female",20,488.74,"star",2,4,3,"1","experimental","feminine","star/as","C’est une star de la course à pied."
77,"male",29,483.71,"star",4,4,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
81,"male",30,842.67,"star",3,4,5,"1","experimental","feminine","star/as","C’est une star de la course à pied."
6,"female",19,385.64,"star",3,3,4,"1","experimental","feminine","star/as","C’est une star de la course à pied."
2,"female",19,2681.81,"individu",7,1,5,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
3,"N/A",18,992.31,"individu",5,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
7,"male",19,1154.09,"individu",4,2,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
8,"male",37,892.48,"individu",4,2,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
9,"female",18,816.55,"individu",6,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
13,"female",21,497.44,"individu",5,3,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
15,"male",27,382.12,"individu",7,7,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
16,"female",19,750.69,"individu",7,1,5,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
18,"female",25,1068.98,"individu",3,1,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
19,"N/A",20,1161.86,"individu",5,3,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
20,"male",20,2558.41,"individu",6,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
21,"female",22,843.78,"individu",7,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
24,"female",21,528.61,"individu",4,2,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
26,"female",22,928.96,"individu",4,2,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
27,"female",26,381.79,"individu",5,1,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
28,"male",22,427.25,"individu",3,2,1,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
29,"female",20,659.42,"individu",4,1,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
30,"female",19,619.32,"individu",6,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
31,"female",18,536,"individu",7,1,6,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
34,"female",20,487.27,"individu",3,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
35,"female",26,1138.58,"individu",3,2,5,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
36,"N/A",NA,480.71,"individu",7,3,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
39,"female",21,446.09,"individu",6,1,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
40,"female",21,463.05,"individu",7,1,5,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
41,"male",NA,1038.37,"individu",4,1,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
42,"male",18,833.13,"individu",5,1,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
43,"N/A",24,726.77,"individu",5,4,6,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
49,"female",19,683.57,"individu",3,3,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
50,"female",30,436.5,"individu",6,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
51,"female",22,346.04,"individu",4,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
54,"female",19,458.76,"individu",3,1,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
55,"female",18,606.61,"individu",7,4,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
56,"female",21,1185.48,"individu",4,4,5,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
57,"female",25,753.56,"individu",4,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
59,"female",20,670.1,"individu",7,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
60,"male",20,998.68,"individu",4,2,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
61,"male",26,3592.14,"individu",4,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
63,"male",21,882.31,"individu",6,2,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
